VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD0.z,in_TEXCOORD0.w,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD1.z,in_TEXCOORD1.w,in_TEXCOORD2.x,in_TEXCOORD2.y,in_TEXCOORD2.z,in_TEXCOORD2.w
10,136,190.19754028320312,2.4029507637023926,49.71992492675781,0.0,0.0,0.0,0.16862745098039217,1.0,0.16666662693023682,0.1666666716337204,-5.960464477539063e-08,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.0,0.0,0.7724394798278809,0.0
11,137,185.58033752441406,1.671830177307129,44.23512649536133,0.0,0.0,0.0,0.16862745098039217,0.8333333730697632,0.16666662693023682,0.0,-5.960464477539063e-08,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.0,0.0,0.7724394798278809,0.0
12,138,183.0865478515625,6.707119941711426,51.200069427490234,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.2196078431372549,0.5,0.5,0.6666666865348816,0.5,132.9879150390625,0.05862218886613846,0.6631104946136475,1.3672990798950195,0.0,0.0,0.48351943492889404,0.0
13,139,189.39138793945312,2.8253207206726074,52.89850997924805,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.2196078431372549,0.6666666865348816,0.5,0.8333333730697632,0.5,132.9879150390625,0.05862218886613846,0.6631104946136475,1.3672990798950195,0.0,0.0,0.48351943492889404,0.0
14,140,188.3804473876953,-1.5098552703857422,46.7431640625,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.2196078431372549,0.6666666865348816,0.3333333134651184,0.8333333730697632,0.3333333134651184,132.9879150390625,0.05862218886613846,0.6631104946136475,1.3672990798950195,0.0,0.0,0.48351943492889404,0.0
15,138,183.0865478515625,6.707119941711426,51.200069427490234,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.2196078431372549,0.5,0.5,0.6666666865348816,0.5,132.9879150390625,0.05862218886613846,0.6631104946136475,1.3672990798950195,0.0,0.0,0.48351943492889404,0.0
16,140,188.3804473876953,-1.5098552703857422,46.7431640625,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.2196078431372549,0.6666666865348816,0.3333333134651184,0.8333333730697632,0.3333333134651184,132.9879150390625,0.05862218886613846,0.6631104946136475,1.3672990798950195,0.0,0.0,0.48351943492889404,0.0
17,141,182.0756072998047,2.371943950653076,45.04472351074219,0.00392156862745098,0.00392156862745098,0.00392156862745098,0.2196078431372549,0.5,0.3333333134651184,0.6666666865348816,0.3333333134651184,132.9879150390625,0.05862218886613846,0.6631104946136475,1.3672990798950195,0.0,0.0,0.48351943492889404,0.0
18,142,181.84217834472656,6.634696960449219,47.08647918701172,0.0,0.0,0.0,0.21568627450980393,0.0,0.3333333134651184,0.1666666716337204,0.3333333134651184,55718576128.0,4.5201684563725624e-41,2.1170664737746418e-35,0.0,0.0,0.0,0.5935506224632263,0.0
19,143,186.44454956054688,6.807857513427734,51.89434051513672,0.0,0.0,0.0,0.21568627450980393,0.1666666716337204,0.3333333134651184,0.3333333432674408,0.3333333134651184,55718576128.0,4.5201684563725624e-41,2.1170664737746418e-35,0.0,0.0,0.0,0.5935506224632263,0.0
20,144,189.6287841796875,1.7105658054351807,49.029788970947266,0.0,0.0,0.0,0.21568627450980393,0.1666666716337204,0.16666662693023682,0.3333333432674408,0.16666662693023682,55718576128.0,4.5201684563725624e-41,2.1170664737746418e-35,0.0,0.0,0.0,0.5935506224632263,0.0
21,142,181.84217834472656,6.634696960449219,47.08647918701172,0.0,0.0,0.0,0.21568627450980393,0.0,0.3333333134651184,0.1666666716337204,0.3333333134651184,55718576128.0,4.5201684563725624e-41,2.1170664737746418e-35,0.0,0.0,0.0,0.5935506224632263,0.0
22,144,189.6287841796875,1.7105658054351807,49.029788970947266,0.0,0.0,0.0,0.21568627450980393,0.1666666716337204,0.16666662693023682,0.3333333432674408,0.16666662693023682,55718576128.0,4.5201684563725624e-41,2.1170664737746418e-35,0.0,0.0,0.0,0.5935506224632263,0.0
23,145,185.0264129638672,1.5374054908752441,44.221927642822266,0.0,0.0,0.0,0.21568627450980393,0.0,0.16666662693023682,0.1666666716337204,0.16666662693023682,55718576128.0,4.5201684563725624e-41,2.1170664737746418e-35,0.0,0.0,0.0,0.5935506224632263,0.0
24,146,182.0360107421875,6.657295227050781,48.42921829223633,0.011764705882352941,0.00784313725490196,0.00392156862745098,0.20392156862745098,0.3333333432674408,0.5,0.5,0.5,-1.8270072787799026e+29,4.52002832652613e-41,-1.8269831002635103e+29,4.52002832652613e-41,0.0,0.0,0.442028671503067,0.0
25,147,187.1584014892578,5.712552070617676,52.430519104003906,0.011764705882352941,0.00784313725490196,0.00392156862745098,0.20392156862745098,0.5,0.5,0.6666666865348816,0.5,-1.8270072787799026e+29,4.52002832652613e-41,-1.8269831002635103e+29,4.52002832652613e-41,0.0,0.0,0.442028671503067,0.0
26,148,189.21864318847656,0.7704733610153198,48.626163482666016,0.011764705882352941,0.00784313725490196,0.00392156862745098,0.20392156862745098,0.5,0.3333333134651184,0.6666666865348816,0.3333333134651184,-1.8270072787799026e+29,4.52002832652613e-41,-1.8269831002635103e+29,4.52002832652613e-41,0.0,0.0,0.442028671503067,0.0
27,146,182.0360107421875,6.657295227050781,48.42921829223633,0.011764705882352941,0.00784313725490196,0.00392156862745098,0.20392156862745098,0.3333333432674408,0.5,0.5,0.5,-1.8270072787799026e+29,4.52002832652613e-41,-1.8269831002635103e+29,4.52002832652613e-41,0.0,0.0,0.442028671503067,0.0
28,148,189.21864318847656,0.7704733610153198,48.626163482666016,0.011764705882352941,0.00784313725490196,0.00392156862745098,0.20392156862745098,0.5,0.3333333134651184,0.6666666865348816,0.3333333134651184,-1.8270072787799026e+29,4.52002832652613e-41,-1.8269831002635103e+29,4.52002832652613e-41,0.0,0.0,0.442028671503067,0.0
29,149,184.09625244140625,1.7152165174484253,44.62486267089844,0.011764705882352941,0.00784313725490196,0.00392156862745098,0.20392156862745098,0.3333333432674408,0.3333333134651184,0.5,0.3333333134651184,-1.8270072787799026e+29,4.52002832652613e-41,-1.8269831002635103e+29,4.52002832652613e-41,0.0,0.0,0.442028671503067,0.0
30,150,183.06842041015625,7.305519104003906,50.603633880615234,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.20784313725490197,0.5,0.5,0.6666666865348816,0.5,317.5977783203125,0.05000691115856171,0.46639835834503174,1.8371326923370361,0.0,0.0,0.46997448801994324,0.0
31,151,188.72311401367188,4.181257247924805,52.550872802734375,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.20784313725490197,0.6666666865348816,0.5,0.8333333730697632,0.5,317.5977783203125,0.05000691115856171,0.46639835834503174,1.8371326923370361,0.0,0.0,0.46997448801994324,0.0
32,152,188.28245544433594,0.06347894668579102,47.22377014160156,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.20784313725490197,0.6666666865348816,0.3333333134651184,0.8333333730697632,0.3333333134651184,317.5977783203125,0.05000691115856171,0.46639835834503174,1.8371326923370361,0.0,0.0,0.46997448801994324,0.0
33,150,183.06842041015625,7.305519104003906,50.603633880615234,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.20784313725490197,0.5,0.5,0.6666666865348816,0.5,317.5977783203125,0.05000691115856171,0.46639835834503174,1.8371326923370361,0.0,0.0,0.46997448801994324,0.0
34,152,188.28245544433594,0.06347894668579102,47.22377014160156,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.20784313725490197,0.6666666865348816,0.3333333134651184,0.8333333730697632,0.3333333134651184,317.5977783203125,0.05000691115856171,0.46639835834503174,1.8371326923370361,0.0,0.0,0.46997448801994324,0.0
35,153,182.62774658203125,3.1877408027648926,45.27653121948242,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.20784313725490197,0.5,0.3333333134651184,0.6666666865348816,0.3333333134651184,317.5977783203125,0.05000691115856171,0.46639835834503174,1.8371326923370361,0.0,0.0,0.46997448801994324,0.0
36,154,181.66285705566406,1.7450839281082153,46.44074249267578,0.06666666666666667,0.03529411764705882,0.027450980392156862,0.2823529411764706,0.6666666865348816,0.8333333134651184,0.8333333730697632,0.8333333134651184,0.642787754535675,0.642787754535675,0.642787754535675,0.642787754535675,0.0,0.0,0.13040165603160858,0.0
37,155,184.279541015625,4.316681385040283,52.109066009521484,0.06666666666666667,0.03529411764705882,0.027450980392156862,0.2823529411764706,0.8333333730697632,0.8333333134651184,1.0,0.8333333134651184,0.642787754535675,0.642787754535675,0.642787754535675,0.642787754535675,0.0,0.0,0.13040165603160858,0.0
38,156,189.3160400390625,-0.1711047887802124,51.8200569152832,0.06666666666666667,0.03529411764705882,0.027450980392156862,0.2823529411764706,0.8333333730697632,0.6666666269302368,1.0,0.6666666269302368,0.642787754535675,0.642787754535675,0.642787754535675,0.642787754535675,0.0,0.0,0.13040165603160858,0.0
39,154,181.66285705566406,1.7450839281082153,46.44074249267578,0.06666666666666667,0.03529411764705882,0.027450980392156862,0.2823529411764706,0.6666666865348816,0.8333333134651184,0.8333333730697632,0.8333333134651184,0.642787754535675,0.642787754535675,0.642787754535675,0.642787754535675,0.0,0.0,0.13040165603160858,0.0
40,156,189.3160400390625,-0.1711047887802124,51.8200569152832,0.06666666666666667,0.03529411764705882,0.027450980392156862,0.2823529411764706,0.8333333730697632,0.6666666269302368,1.0,0.6666666269302368,0.642787754535675,0.642787754535675,0.642787754535675,0.642787754535675,0.0,0.0,0.13040165603160858,0.0
41,157,186.6993408203125,-2.7427024841308594,46.151737213134766,0.06666666666666667,0.03529411764705882,0.027450980392156862,0.2823529411764706,0.6666666865348816,0.6666666269302368,0.8333333730697632,0.6666666269302368,0.642787754535675,0.642787754535675,0.642787754535675,0.642787754535675,0.0,0.0,0.13040165603160858,0.0
42,158,181.68798828125,1.3771852254867554,45.839088439941406,0.09803921568627451,0.047058823529411764,0.03529411764705882,0.28627450980392155,0.1666666716337204,0.8333333134651184,0.3333333432674408,0.8333333134651184,-184.8790283203125,0.05485877767205238,0.5975349545478821,1.5366301536560059,0.0,0.0,0.05748909339308739,0.0
43,159,183.82852172851562,4.601534366607666,51.805850982666016,0.09803921568627451,0.047058823529411764,0.03529411764705882,0.28627450980392155,0.3333333432674408,0.8333333134651184,0.5,0.8333333134651184,-184.8790283203125,0.05485877767205238,0.5975349545478821,1.5366301536560059,0.0,0.0,0.05748909339308739,0.0
44,160,189.41043090820312,0.21001064777374268,52.176490783691406,0.09803921568627451,0.047058823529411764,0.03529411764705882,0.28627450980392155,0.3333333432674408,0.6666666269302368,0.5,0.6666666269302368,-184.8790283203125,0.05485877767205238,0.5975349545478821,1.5366301536560059,0.0,0.0,0.05748909339308739,0.0
45,158,181.68798828125,1.3771852254867554,45.839088439941406,0.09803921568627451,0.047058823529411764,0.03529411764705882,0.28627450980392155,0.1666666716337204,0.8333333134651184,0.3333333432674408,0.8333333134651184,-184.8790283203125,0.05485877767205238,0.5975349545478821,1.5366301536560059,0.0,0.0,0.05748909339308739,0.0
46,160,189.41043090820312,0.21001064777374268,52.176490783691406,0.09803921568627451,0.047058823529411764,0.03529411764705882,0.28627450980392155,0.3333333432674408,0.6666666269302368,0.5,0.6666666269302368,-184.8790283203125,0.05485877767205238,0.5975349545478821,1.5366301536560059,0.0,0.0,0.05748909339308739,0.0
