VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD0.z,in_TEXCOORD0.w,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD1.z,in_TEXCOORD1.w
16,1144,145.33004760742188,2.061129093170166,69.01317596435547,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.09803921568627451,1.0,0.0,1.0,0.0,-283.9485168457031,0.007801522966474295,0.003354331711307168,0.5974651575088501
17,1145,144.52731323242188,2.061129093170166,68.21044158935547,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.09803921568627451,0.0,0.0,0.0,0.0,-283.9485168457031,0.007801522966474295,0.003354331711307168,0.5974651575088501
18,1146,144.5800323486328,3.48287034034729,69.938720703125,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.20392156862745098,0.0,1.0,0.0,1.0,-313.322265625,0.01589084230363369,0.01577586680650711,1.0232895612716675
19,1147,145.14962768554688,3.48287034034729,70.50830841064453,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.20392156862745098,1.0,1.0,1.0,1.0,-313.322265625,0.01589084230363369,0.01577586680650711,1.0232895612716675
20,1148,145.51576232910156,2.8658010959625244,70.14218139648438,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.20392156862745098,1.0,0.0,1.0,0.0,-313.322265625,0.01589084230363369,0.01577586680650711,1.0232895612716675
21,1146,144.5800323486328,3.48287034034729,69.938720703125,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.20392156862745098,0.0,1.0,0.0,1.0,-313.322265625,0.01589084230363369,0.01577586680650711,1.0232895612716675
22,1148,145.51576232910156,2.8658010959625244,70.14218139648438,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.20392156862745098,1.0,0.0,1.0,0.0,-313.322265625,0.01589084230363369,0.01577586680650711,1.0232895612716675
23,1149,144.9461669921875,2.8658010959625244,69.57259368896484,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.20392156862745098,0.0,0.0,0.0,0.0,-313.322265625,0.01589084230363369,0.01577586680650711,1.0232895612716675
24,1150,144.5470733642578,3.8531203269958496,68.98240661621094,0.043137254901960784,0.03137254901960784,0.03137254901960784,0.3764705882352941,0.0,1.0,0.0,1.0,132.08987426757812,0.026147309690713882,0.052146561443805695,1.5335097312927246
25,1151,145.57810974121094,3.8531200885772705,70.0134506225586,0.043137254901960784,0.03137254901960784,0.03137254901960784,0.3764705882352941,1.0,1.0,1.0,1.0,132.08987426757812,0.026147309690713882,0.052146561443805695,1.5335097312927246
26,1152,146.24085998535156,2.7361388206481934,69.3507080078125,0.043137254901960784,0.03137254901960784,0.03137254901960784,0.3764705882352941,1.0,0.0,1.0,0.0,132.08987426757812,0.026147309690713882,0.052146561443805695,1.5335097312927246
27,1150,144.5470733642578,3.8531203269958496,68.98240661621094,0.043137254901960784,0.03137254901960784,0.03137254901960784,0.3764705882352941,0.0,1.0,0.0,1.0,132.08987426757812,0.026147309690713882,0.052146561443805695,1.5335097312927246
28,1152,146.24085998535156,2.7361388206481934,69.3507080078125,0.043137254901960784,0.03137254901960784,0.03137254901960784,0.3764705882352941,1.0,0.0,1.0,0.0,132.08987426757812,0.026147309690713882,0.052146561443805695,1.5335097312927246
29,1153,145.20982360839844,2.7361390590667725,68.31966400146484,0.043137254901960784,0.03137254901960784,0.03137254901960784,0.3764705882352941,0.0,0.0,0.0,0.0,132.08987426757812,0.026147309690713882,0.052146561443805695,1.5335097312927246
30,1154,143.83326721191406,4.462265968322754,68.94419860839844,0.03137254901960784,0.0196078431372549,0.0196078431372549,0.4745098039215686,0.0,1.0,0.0,1.0,-199.3082733154297,0.03114422596991062,0.0836830660700798,1.7585139274597168
31,1155,144.49285888671875,4.462265968322754,69.60379028320312,0.03137254901960784,0.0196078431372549,0.0196078431372549,0.4745098039215686,1.0,1.0,1.0,1.0,-199.3082733154297,0.03114422596991062,0.0836830660700798,1.7585139274597168
32,1156,144.9168243408203,3.747697114944458,69.1798095703125,0.03137254901960784,0.0196078431372549,0.0196078431372549,0.4745098039215686,1.0,0.0,1.0,0.0,-199.3082733154297,0.03114422596991062,0.0836830660700798,1.7585139274597168
33,1154,143.83326721191406,4.462265968322754,68.94419860839844,0.03137254901960784,0.0196078431372549,0.0196078431372549,0.4745098039215686,0.0,1.0,0.0,1.0,-199.3082733154297,0.03114422596991062,0.0836830660700798,1.7585139274597168
34,1156,144.9168243408203,3.747697114944458,69.1798095703125,0.03137254901960784,0.0196078431372549,0.0196078431372549,0.4745098039215686,1.0,0.0,1.0,0.0,-199.3082733154297,0.03114422596991062,0.0836830660700798,1.7585139274597168
35,1157,144.25723266601562,3.747697114944458,68.52021789550781,0.03137254901960784,0.0196078431372549,0.0196078431372549,0.4745098039215686,0.0,0.0,0.0,0.0,-199.3082733154297,0.03114422596991062,0.0836830660700798,1.7585139274597168
36,1158,143.3186798095703,4.713405132293701,68.42674255371094,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,-312.3351135253906,0.03431589528918266,0.11136235296726227,1.8862698078155518
37,1159,144.41171264648438,4.713405132293701,69.519775390625,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,1.0,1.0,1.0,-312.3351135253906,0.03431589528918266,0.11136235296726227,1.8862698078155518
38,1160,145.1143035888672,3.529270648956299,68.81718444824219,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,-312.3351135253906,0.03431589528918266,0.11136235296726227,1.8862698078155518
39,1158,143.3186798095703,4.713405132293701,68.42674255371094,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,-312.3351135253906,0.03431589528918266,0.11136235296726227,1.8862698078155518
40,1160,145.1143035888672,3.529270648956299,68.81718444824219,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,-312.3351135253906,0.03431589528918266,0.11136235296726227,1.8862698078155518
41,1161,144.02127075195312,3.529270648956299,67.72415161132812,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,0.0,0.0,0.0,-312.3351135253906,0.03431589528918266,0.11136235296726227,1.8862698078155518
42,1162,144.38978576660156,4.656965732574463,69.28993225097656,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5098039215686274,0.0,1.0,0.0,1.0,-107.2779541015625,0.032652195543050766,0.09593626856803894,1.821136236190796
43,1163,145.08306884765625,4.656965732574463,69.98321533203125,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5098039215686274,1.0,1.0,1.0,1.0,-107.2779541015625,0.032652195543050766,0.09593626856803894,1.821136236190796
44,1164,145.52870178222656,3.90590238571167,69.53758239746094,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5098039215686274,1.0,0.0,1.0,0.0,-107.2779541015625,0.032652195543050766,0.09593626856803894,1.821136236190796
45,1162,144.38978576660156,4.656965732574463,69.28993225097656,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5098039215686274,0.0,1.0,0.0,1.0,-107.2779541015625,0.032652195543050766,0.09593626856803894,1.821136236190796
46,1164,145.52870178222656,3.90590238571167,69.53758239746094,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5098039215686274,1.0,0.0,1.0,0.0,-107.2779541015625,0.032652195543050766,0.09593626856803894,1.821136236190796
47,1165,144.83541870117188,3.90590238571167,68.84429931640625,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5098039215686274,0.0,0.0,0.0,0.0,-107.2779541015625,0.032652195543050766,0.09593626856803894,1.821136236190796
48,1166,143.3334503173828,5.458446502685547,69.06623077392578,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,355.96929931640625,0.04307207465171814,0.2475404143333435,2.093684434890747
49,1167,144.39625549316406,5.458446502685547,70.12903594970703,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,1.0,1.0,1.0,355.96929931640625,0.04307207465171814,0.2475404143333435,2.093684434890747
50,1168,145.0794219970703,4.307055473327637,69.44588470458984,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,355.96929931640625,0.04307207465171814,0.2475404143333435,2.093684434890747
51,1166,143.3334503173828,5.458446502685547,69.06623077392578,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,355.96929931640625,0.04307207465171814,0.2475404143333435,2.093684434890747
52,1168,145.0794219970703,4.307055473327637,69.44588470458984,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,355.96929931640625,0.04307207465171814,0.2475404143333435,2.093684434890747
53,1169,144.01661682128906,4.307055473327637,68.3830795288086,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,0.0,0.0,0.0,355.96929931640625,0.04307207465171814,0.2475404143333435,2.093684434890747
54,1170,142.95474243164062,6.041526794433594,68.97122192382812,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.42745098039215684,0.0,1.0,0.0,1.0,132.44863891601562,0.051558706909418106,0.5151554346084595,1.7335045337677002
55,1171,144.095703125,6.041526794433594,70.11219024658203,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.42745098039215684,1.0,1.0,1.0,1.0,132.44863891601562,0.051558706909418106,0.5151554346084595,1.7335045337677002
56,1172,144.8291015625,4.805456161499023,69.3787841796875,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.42745098039215684,1.0,0.0,1.0,0.0,132.44863891601562,0.051558706909418106,0.5151554346084595,1.7335045337677002
57,1170,142.95474243164062,6.041526794433594,68.97122192382812,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.42745098039215684,0.0,1.0,0.0,1.0,132.44863891601562,0.051558706909418106,0.5151554346084595,1.7335045337677002
58,1172,144.8291015625,4.805456161499023,69.3787841796875,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.42745098039215684,1.0,0.0,1.0,0.0,132.44863891601562,0.051558706909418106,0.5151554346084595,1.7335045337677002
59,1173,143.68814086914062,4.805456161499023,68.2378158569336,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.42745098039215684,0.0,0.0,0.0,0.0,132.44863891601562,0.051558706909418106,0.5151554346084595,1.7335045337677002
60,1174,144.4863739013672,4.245979309082031,68.36593627929688,0.03529411764705882,0.027450980392156862,0.023529411764705882,0.42745098039215684,0.0,1.0,0.0,1.0,-310.50006103515625,0.028897663578391075,0.0679735317826271,1.6602046489715576
61,1175,145.29934692382812,4.245979309082031,69.17890167236328,0.03529411764705882,0.027450980392156862,0.023529411764705882,0.42745098039215684,1.0,1.0,1.0,1.0,-310.50006103515625,0.028897663578391075,0.0679735317826271,1.6602046489715576
62,1176,145.82191467285156,3.365253448486328,68.65634155273438,0.03529411764705882,0.027450980392156862,0.023529411764705882,0.42745098039215684,1.0,0.0,1.0,0.0,-310.50006103515625,0.028897663578391075,0.0679735317826271,1.6602046489715576
63,1174,144.4863739013672,4.245979309082031,68.36593627929688,0.03529411764705882,0.027450980392156862,0.023529411764705882,0.42745098039215684,0.0,1.0,0.0,1.0,-310.50006103515625,0.028897663578391075,0.0679735317826271,1.6602046489715576
64,1176,145.82191467285156,3.365253448486328,68.65634155273438,0.03529411764705882,0.027450980392156862,0.023529411764705882,0.42745098039215684,1.0,0.0,1.0,0.0,-310.50006103515625,0.028897663578391075,0.0679735317826271,1.6602046489715576
65,1177,145.00894165039062,3.365253448486328,67.84337615966797,0.03529411764705882,0.027450980392156862,0.023529411764705882,0.42745098039215684,0.0,0.0,0.0,0.0,-310.50006103515625,0.028897663578391075,0.0679735317826271,1.6602046489715576
66,1178,144.00491333007812,5.607760429382324,69.44682312011719,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,1.657012939453125,0.04388831928372383,0.26783129572868347,2.0907857418060303
67,1179,145.1839599609375,5.607760429382324,70.62586975097656,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,1.0,1.0,1.0,1.657012939453125,0.04388831928372383,0.26783129572868347,2.0907857418060303
68,1180,145.94183349609375,4.3304443359375,69.86799621582031,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,1.657012939453125,0.04388831928372383,0.26783129572868347,2.0907857418060303
69,1178,144.00491333007812,5.607760429382324,69.44682312011719,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,1.657012939453125,0.04388831928372383,0.26783129572868347,2.0907857418060303
70,1180,145.94183349609375,4.3304443359375,69.86799621582031,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,1.657012939453125,0.04388831928372383,0.26783129572868347,2.0907857418060303
71,1181,144.76278686523438,4.3304443359375,68.68894958496094,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,0.0,0.0,0.0,1.657012939453125,0.04388831928372383,0.26783129572868347,2.0907857418060303
72,1182,143.15280151367188,6.076937198638916,69.07003021240234,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.3254901960784314,0.0,1.0,0.0,1.0,-184.8790283203125,0.055463757365942,0.6097983717918396,1.5055694580078125
73,1183,144.2305908203125,6.076937198638916,70.14781188964844,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.3254901960784314,1.0,1.0,1.0,1.0,-184.8790283203125,0.055463757365942,0.6097983717918396,1.5055694580078125
74,1184,144.92337036132812,4.909315586090088,69.45502471923828,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.3254901960784314,1.0,0.0,1.0,0.0,-184.8790283203125,0.055463757365942,0.6097983717918396,1.5055694580078125
75,1182,143.15280151367188,6.076937198638916,69.07003021240234,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.3254901960784314,0.0,1.0,0.0,1.0,-184.8790283203125,0.055463757365942,0.6097983717918396,1.5055694580078125
76,1184,144.92337036132812,4.909315586090088,69.45502471923828,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.3254901960784314,1.0,0.0,1.0,0.0,-184.8790283203125,0.055463757365942,0.6097983717918396,1.5055694580078125
77,1185,143.8455810546875,4.909315586090088,68.37724304199219,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.3254901960784314,0.0,0.0,0.0,0.0,-184.8790283203125,0.055463757365942,0.6097983717918396,1.5055694580078125
78,1186,143.9594268798828,4.776029109954834,68.32758331298828,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,133.52023315429688,0.042907461524009705,0.24366465210914612,2.093538999557495
79,1187,144.72950744628906,4.776028633117676,69.09766387939453,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,1.0,1.0,1.0,133.52023315429688,0.042907461524009705,0.24366465210914612,2.093538999557495
80,1188,145.22450256347656,3.9417636394500732,68.60266876220703,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,133.52023315429688,0.042907461524009705,0.24366465210914612,2.093538999557495
81,1186,143.9594268798828,4.776029109954834,68.32758331298828,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,133.52023315429688,0.042907461524009705,0.24366465210914612,2.093538999557495
82,1188,145.22450256347656,3.9417636394500732,68.60266876220703,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,133.52023315429688,0.042907461524009705,0.24366465210914612,2.093538999557495
83,1189,144.4544219970703,3.9417636394500732,67.83258819580078,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,0.0,0.0,0.0,133.52023315429688,0.042907461524009705,0.24366465210914612,2.093538999557495
84,1190,143.4158477783203,5.651592254638672,68.70366668701172,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,-236.99627685546875,0.04753842204809189,0.38067737221717834,1.9866392612457275
85,1191,144.71365356445312,5.651591777801514,70.00147247314453,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5490196078431373,1.0,1.0,1.0,1.0,-236.99627685546875,0.04753842204809189,0.38067737221717834,1.9866392612457275
86,1192,145.54786682128906,4.245610237121582,69.1672592163086,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,-236.99627685546875,0.04753842204809189,0.38067737221717834,1.9866392612457275
87,1190,143.4158477783203,5.651592254638672,68.70366668701172,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,-236.99627685546875,0.04753842204809189,0.38067737221717834,1.9866392612457275
88,1192,145.54786682128906,4.245610237121582,69.1672592163086,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,-236.99627685546875,0.04753842204809189,0.38067737221717834,1.9866392612457275
89,1193,144.25006103515625,4.24561071395874,67.86945343017578,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.5490196078431373,0.0,0.0,0.0,0.0,-236.99627685546875,0.04753842204809189,0.38067737221717834,1.9866392612457275
90,1194,144.49673461914062,4.74399995803833,68.61095428466797,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,208.4423828125,0.03954778239130974,0.17805644869804382,2.0493907928466797
91,1195,145.3694305419922,4.743999481201172,69.483642578125,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,1.0,1.0,1.0,208.4423828125,0.03954778239130974,0.17805644869804382,2.0493907928466797
92,1196,145.93038940429688,3.798572301864624,68.92269134521484,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,208.4423828125,0.03954778239130974,0.17805644869804382,2.0493907928466797
93,1194,144.49673461914062,4.74399995803833,68.61095428466797,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,208.4423828125,0.03954778239130974,0.17805644869804382,2.0493907928466797
94,1196,145.93038940429688,3.798572301864624,68.92269134521484,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,208.4423828125,0.03954778239130974,0.17805644869804382,2.0493907928466797
95,1197,145.0576934814453,3.798572301864624,68.05000305175781,0.027450980392156862,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,0.0,0.0,0.0,208.4423828125,0.03954778239130974,0.17805644869804382,2.0493907928466797
96,1198,143.4993133544922,6.437648773193359,69.41162872314453,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.4666666666666667,0.0,1.0,0.0,1.0,317.5977783203125,0.050288502126932144,0.47568634152412415,1.8182899951934814
97,1199,144.6429443359375,6.437648773193359,70.55526733398438,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.4666666666666667,1.0,1.0,1.0,1.0,317.5977783203125,0.050288502126932144,0.47568634152412415,1.8182899951934814
98,1200,145.37806701660156,5.198690414428711,69.82015228271484,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.4666666666666667,1.0,0.0,1.0,0.0,317.5977783203125,0.050288502126932144,0.47568634152412415,1.8182899951934814
99,1198,143.4993133544922,6.437648773193359,69.41162872314453,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.4666666666666667,0.0,1.0,0.0,1.0,317.5977783203125,0.050288502126932144,0.47568634152412415,1.8182899951934814
100,1200,145.37806701660156,5.198690414428711,69.82015228271484,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.4666666666666667,1.0,0.0,1.0,0.0,317.5977783203125,0.050288502126932144,0.47568634152412415,1.8182899951934814
101,1201,144.23443603515625,5.198690414428711,68.676513671875,0.03137254901960784,0.0196078431372549,0.01568627450980392,0.4666666666666667,0.0,0.0,0.0,0.0,317.5977783203125,0.050288502126932144,0.47568634152412415,1.8182899951934814
102,1202,143.51841735839844,5.390827655792236,68.14305877685547,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,112.0838623046875,0.04352043196558952,0.2584609389305115,2.092865467071533
103,1203,144.407958984375,5.390827655792236,69.0326156616211,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,1.0,1.0,1.0,112.0838623046875,0.04352043196558952,0.2584609389305115,2.092865467071533
104,1204,144.97975158691406,4.427130222320557,68.46082305908203,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,112.0838623046875,0.04352043196558952,0.2584609389305115,2.092865467071533
105,1202,143.51841735839844,5.390827655792236,68.14305877685547,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,0.0,1.0,0.0,1.0,112.0838623046875,0.04352043196558952,0.2584609389305115,2.092865467071533
106,1204,144.97975158691406,4.427130222320557,68.46082305908203,0.03137254901960784,0.01568627450980392,0.01568627450980392,0.5490196078431373,1.0,0.0,1.0,0.0,112.0838623046875,0.04352043196558952,0.2584609389305115,2.092865467071533
